target_id,mode,sub_exp,rep,aggregate,fallback_used,n_backend_calls,latency_seconds,tool_version,backend_label,started_at,path
T1,per_dim,pilot,0,6.0,False,8,59.68,0.1.2,claude-cli-contextual,2026-04-25T07:56:02.237477+00:00,runs/pilot/T1_per_dim_rep0_20260425T075602.json
T1,batched,pilot,0,6.1,False,1,22.59,0.1.2,claude-cli-contextual+batch,2026-04-25T07:57:01.914925+00:00,runs/pilot/T1_batched_rep0_20260425T075701.json
T1,batched,pilot,1,6.2,False,1,21.48,0.1.2,claude-cli-contextual+batch,2026-04-25T07:57:24.506141+00:00,runs/pilot/T1_batched_rep1_20260425T075724.json
T1,per_dim,pilot,1,5.8,False,8,62.82,0.1.2,claude-cli-contextual,2026-04-25T07:57:45.988887+00:00,runs/pilot/T1_per_dim_rep1_20260425T075745.json
T1,per_dim,pilot,2,6.0,False,8,80.65,0.1.2,claude-cli-contextual,2026-04-25T07:58:48.810411+00:00,runs/pilot/T1_per_dim_rep2_20260425T075848.json
T1,batched,pilot,2,6.1,False,1,26.06,0.1.2,claude-cli-contextual+batch,2026-04-25T08:00:09.465633+00:00,runs/pilot/T1_batched_rep2_20260425T080009.json
T4,per_dim,main_a,0,3.0,False,6,23.89,0.1.2,dashscope-qwen-plus,2026-04-25T08:19:13.839862+00:00,runs/main_a/T4_per_dim_rep0_20260425T081913.json
T4,batched,main_a,0,3.0,False,1,31.68,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:19:37.735406+00:00,runs/main_a/T4_batched_rep0_20260425T081937.json
T4,batched,main_a,1,3.0,False,1,21.51,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:20:09.412633+00:00,runs/main_a/T4_batched_rep1_20260425T082009.json
T4,per_dim,main_a,1,3.0,False,6,23.76,0.1.2,dashscope-qwen-plus,2026-04-25T08:20:30.928566+00:00,runs/main_a/T4_per_dim_rep1_20260425T082030.json
T4,per_dim,main_a,2,3.0,False,6,24.15,0.1.2,dashscope-qwen-plus,2026-04-25T08:20:54.687354+00:00,runs/main_a/T4_per_dim_rep2_20260425T082054.json
T4,batched,main_a,2,3.0,False,1,20.63,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:21:18.837420+00:00,runs/main_a/T4_batched_rep2_20260425T082118.json
T4,batched,main_a,3,3.0,False,1,23.51,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:21:39.469838+00:00,runs/main_a/T4_batched_rep3_20260425T082139.json
T4,per_dim,main_a,3,3.0,False,6,25.16,0.1.2,dashscope-qwen-plus,2026-04-25T08:22:02.981085+00:00,runs/main_a/T4_per_dim_rep3_20260425T082202.json
T4,per_dim,main_a,4,3.0,False,6,24.63,0.1.2,dashscope-qwen-plus,2026-04-25T08:22:28.142711+00:00,runs/main_a/T4_per_dim_rep4_20260425T082228.json
T4,batched,main_a,4,3.0,False,1,20.75,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:22:52.774608+00:00,runs/main_a/T4_batched_rep4_20260425T082252.json
T4,batched,main_a,5,3.0,False,1,22.71,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:23:13.528300+00:00,runs/main_a/T4_batched_rep5_20260425T082313.json
T4,per_dim,main_a,5,3.0,False,6,24.69,0.1.2,dashscope-qwen-plus,2026-04-25T08:23:36.237111+00:00,runs/main_a/T4_per_dim_rep5_20260425T082336.json
T4,per_dim,main_a,6,3.0,False,6,24.18,0.1.2,dashscope-qwen-plus,2026-04-25T08:24:00.925090+00:00,runs/main_a/T4_per_dim_rep6_20260425T082400.json
T4,batched,main_a,6,3.0,False,1,21.64,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:24:25.103340+00:00,runs/main_a/T4_batched_rep6_20260425T082425.json
T4,batched,main_a,7,3.0,False,1,18.61,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:24:46.741291+00:00,runs/main_a/T4_batched_rep7_20260425T082446.json
T4,per_dim,main_a,7,3.0,False,6,24.48,0.1.2,dashscope-qwen-plus,2026-04-25T08:25:05.349720+00:00,runs/main_a/T4_per_dim_rep7_20260425T082505.json
T4,per_dim,main_a,8,3.0,False,6,24.37,0.1.2,dashscope-qwen-plus,2026-04-25T08:25:29.830471+00:00,runs/main_a/T4_per_dim_rep8_20260425T082529.json
T4,batched,main_a,8,3.0,False,1,20.7,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:25:54.198344+00:00,runs/main_a/T4_batched_rep8_20260425T082554.json
T4,batched,main_a,9,3.0,False,1,20.87,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:26:14.903380+00:00,runs/main_a/T4_batched_rep9_20260425T082614.json
T4,per_dim,main_a,9,3.0,False,6,24.04,0.1.2,dashscope-qwen-plus,2026-04-25T08:26:35.769592+00:00,runs/main_a/T4_per_dim_rep9_20260425T082635.json
T2,per_dim,main_a,0,3.0,False,6,22.56,0.1.2,dashscope-qwen-plus,2026-04-25T08:26:59.811093+00:00,runs/main_a/T2_per_dim_rep0_20260425T082659.json
T2,batched,main_a,0,3.0,False,1,16.81,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:27:22.372001+00:00,runs/main_a/T2_batched_rep0_20260425T082722.json
T2,batched,main_a,1,3.0,False,1,16.71,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:27:39.183019+00:00,runs/main_a/T2_batched_rep1_20260425T082739.json
T2,per_dim,main_a,1,3.0,False,6,23.14,0.1.2,dashscope-qwen-plus,2026-04-25T08:27:55.894645+00:00,runs/main_a/T2_per_dim_rep1_20260425T082755.json
T2,per_dim,main_a,2,3.0,False,6,22.75,0.1.2,dashscope-qwen-plus,2026-04-25T08:28:19.040167+00:00,runs/main_a/T2_per_dim_rep2_20260425T082819.json
T2,batched,main_a,2,3.0,False,1,18.33,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:28:41.796205+00:00,runs/main_a/T2_batched_rep2_20260425T082841.json
T2,batched,main_a,3,3.0,False,1,18.19,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:29:00.129674+00:00,runs/main_a/T2_batched_rep3_20260425T082900.json
T2,per_dim,main_a,3,3.0,False,6,23.15,0.1.2,dashscope-qwen-plus,2026-04-25T08:29:18.315889+00:00,runs/main_a/T2_per_dim_rep3_20260425T082918.json
T2,per_dim,main_a,4,3.0,False,6,23.08,0.1.2,dashscope-qwen-plus,2026-04-25T08:29:41.462557+00:00,runs/main_a/T2_per_dim_rep4_20260425T082941.json
T2,batched,main_a,4,3.0,False,1,18.26,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:30:04.539545+00:00,runs/main_a/T2_batched_rep4_20260425T083004.json
T2,batched,main_a,5,3.0,False,1,18.74,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:30:22.795984+00:00,runs/main_a/T2_batched_rep5_20260425T083022.json
T2,per_dim,main_a,5,3.0,False,6,23.78,0.1.2,dashscope-qwen-plus,2026-04-25T08:30:41.538791+00:00,runs/main_a/T2_per_dim_rep5_20260425T083041.json
T2,per_dim,main_a,6,3.0,False,6,23.22,0.1.2,dashscope-qwen-plus,2026-04-25T08:31:05.320324+00:00,runs/main_a/T2_per_dim_rep6_20260425T083105.json
T2,batched,main_a,6,3.0,False,1,19.57,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:31:28.538759+00:00,runs/main_a/T2_batched_rep6_20260425T083128.json
T2,batched,main_a,7,3.0,False,1,19.62,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:31:48.106067+00:00,runs/main_a/T2_batched_rep7_20260425T083148.json
T2,per_dim,main_a,7,3.0,False,6,23.44,0.1.2,dashscope-qwen-plus,2026-04-25T08:32:07.729885+00:00,runs/main_a/T2_per_dim_rep7_20260425T083207.json
T2,per_dim,main_a,8,3.0,False,6,23.15,0.1.2,dashscope-qwen-plus,2026-04-25T08:32:31.168245+00:00,runs/main_a/T2_per_dim_rep8_20260425T083231.json
T2,batched,main_a,8,3.0,False,1,18.06,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:32:54.314571+00:00,runs/main_a/T2_batched_rep8_20260425T083254.json
T2,batched,main_a,9,3.0,False,1,18.32,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:33:12.380154+00:00,runs/main_a/T2_batched_rep9_20260425T083312.json
T2,per_dim,main_a,9,3.0,False,6,23.25,0.1.2,dashscope-qwen-plus,2026-04-25T08:33:30.703301+00:00,runs/main_a/T2_per_dim_rep9_20260425T083330.json
T3,per_dim,main_a,0,3.2,False,6,21.39,0.1.2,dashscope-qwen-plus,2026-04-25T08:33:53.955460+00:00,runs/main_a/T3_per_dim_rep0_20260425T083353.json
T3,batched,main_a,0,3.2,False,1,15.69,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:34:15.350701+00:00,runs/main_a/T3_batched_rep0_20260425T083415.json
T3,batched,main_a,1,3.2,False,1,12.24,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:34:31.042019+00:00,runs/main_a/T3_batched_rep1_20260425T083431.json
T3,per_dim,main_a,1,3.2,False,6,20.77,0.1.2,dashscope-qwen-plus,2026-04-25T08:34:43.287861+00:00,runs/main_a/T3_per_dim_rep1_20260425T083443.json
T3,per_dim,main_a,2,3.2,False,6,20.46,0.1.2,dashscope-qwen-plus,2026-04-25T08:35:04.059613+00:00,runs/main_a/T3_per_dim_rep2_20260425T083504.json
T3,batched,main_a,2,3.2,False,1,13.64,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:35:24.518083+00:00,runs/main_a/T3_batched_rep2_20260425T083524.json
T3,batched,main_a,3,3.2,False,1,12.11,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:35:38.158961+00:00,runs/main_a/T3_batched_rep3_20260425T083538.json
T3,per_dim,main_a,3,3.2,False,6,20.53,0.1.2,dashscope-qwen-plus,2026-04-25T08:35:50.268038+00:00,runs/main_a/T3_per_dim_rep3_20260425T083550.json
T3,per_dim,main_a,4,3.2,False,6,20.53,0.1.2,dashscope-qwen-plus,2026-04-25T08:36:10.800538+00:00,runs/main_a/T3_per_dim_rep4_20260425T083610.json
T3,batched,main_a,4,3.2,False,1,16.8,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:36:31.330819+00:00,runs/main_a/T3_batched_rep4_20260425T083631.json
T3,batched,main_a,5,3.2,False,1,12.43,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:36:48.134907+00:00,runs/main_a/T3_batched_rep5_20260425T083648.json
T3,per_dim,main_a,5,3.2,False,6,21.05,0.1.2,dashscope-qwen-plus,2026-04-25T08:37:00.567601+00:00,runs/main_a/T3_per_dim_rep5_20260425T083700.json
T3,per_dim,main_a,6,3.2,False,6,21.5,0.1.2,dashscope-qwen-plus,2026-04-25T08:37:21.620904+00:00,runs/main_a/T3_per_dim_rep6_20260425T083721.json
T3,batched,main_a,6,3.2,False,1,12.08,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:37:43.124998+00:00,runs/main_a/T3_batched_rep6_20260425T083743.json
T3,batched,main_a,7,3.2,False,1,15.56,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:37:55.208987+00:00,runs/main_a/T3_batched_rep7_20260425T083755.json
T3,per_dim,main_a,7,3.2,False,6,19.21,0.1.2,dashscope-qwen-plus,2026-04-25T08:38:10.766140+00:00,runs/main_a/T3_per_dim_rep7_20260425T083810.json
T3,per_dim,main_a,8,3.2,False,6,21.34,0.1.2,dashscope-qwen-plus,2026-04-25T08:38:29.973937+00:00,runs/main_a/T3_per_dim_rep8_20260425T083829.json
T3,batched,main_a,8,3.2,False,1,17.89,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:38:51.311690+00:00,runs/main_a/T3_batched_rep8_20260425T083851.json
T3,batched,main_a,9,3.2,False,1,12.41,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:39:09.207145+00:00,runs/main_a/T3_batched_rep9_20260425T083909.json
T3,per_dim,main_a,9,3.2,False,6,20.92,0.1.2,dashscope-qwen-plus,2026-04-25T08:39:21.622314+00:00,runs/main_a/T3_per_dim_rep9_20260425T083921.json
T5,per_dim,main_a,0,3.0,False,6,22.49,0.1.2,dashscope-qwen-plus,2026-04-25T08:39:42.544382+00:00,runs/main_a/T5_per_dim_rep0_20260425T083942.json
T5,batched,main_a,0,3.0,False,1,14.76,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:40:05.030706+00:00,runs/main_a/T5_batched_rep0_20260425T084005.json
T5,batched,main_a,1,3.0,False,1,15.71,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:40:19.789649+00:00,runs/main_a/T5_batched_rep1_20260425T084019.json
T5,per_dim,main_a,1,3.0,False,6,21.46,0.1.2,dashscope-qwen-plus,2026-04-25T08:40:35.496875+00:00,runs/main_a/T5_per_dim_rep1_20260425T084035.json
T5,per_dim,main_a,2,3.0,False,6,21.77,0.1.2,dashscope-qwen-plus,2026-04-25T08:40:56.956995+00:00,runs/main_a/T5_per_dim_rep2_20260425T084056.json
T5,batched,main_a,2,3.0,False,1,16.49,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:41:18.728834+00:00,runs/main_a/T5_batched_rep2_20260425T084118.json
T5,batched,main_a,3,3.0,False,1,15.97,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:41:35.222017+00:00,runs/main_a/T5_batched_rep3_20260425T084135.json
T5,per_dim,main_a,3,3.0,False,6,21.43,0.1.2,dashscope-qwen-plus,2026-04-25T08:41:51.195509+00:00,runs/main_a/T5_per_dim_rep3_20260425T084151.json
T5,per_dim,main_a,4,3.0,False,6,21.5,0.1.2,dashscope-qwen-plus,2026-04-25T08:42:12.627262+00:00,runs/main_a/T5_per_dim_rep4_20260425T084212.json
T5,batched,main_a,4,3.0,False,1,15.68,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:42:34.133233+00:00,runs/main_a/T5_batched_rep4_20260425T084234.json
T5,batched,main_a,5,3.0,False,1,15.86,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:42:49.816047+00:00,runs/main_a/T5_batched_rep5_20260425T084249.json
T5,per_dim,main_a,5,3.0,False,6,21.41,0.1.2,dashscope-qwen-plus,2026-04-25T08:43:05.677131+00:00,runs/main_a/T5_per_dim_rep5_20260425T084305.json
T5,per_dim,main_a,6,3.0,False,6,21.19,0.1.2,dashscope-qwen-plus,2026-04-25T08:43:27.085090+00:00,runs/main_a/T5_per_dim_rep6_20260425T084327.json
T5,batched,main_a,6,3.0,False,1,16.08,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:43:48.275404+00:00,runs/main_a/T5_batched_rep6_20260425T084348.json
T5,batched,main_a,7,3.0,False,1,16.63,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:44:04.352579+00:00,runs/main_a/T5_batched_rep7_20260425T084404.json
T5,per_dim,main_a,7,3.0,False,6,21.04,0.1.2,dashscope-qwen-plus,2026-04-25T08:44:20.978782+00:00,runs/main_a/T5_per_dim_rep7_20260425T084420.json
T5,per_dim,main_a,8,3.0,False,6,21.39,0.1.2,dashscope-qwen-plus,2026-04-25T08:44:42.024014+00:00,runs/main_a/T5_per_dim_rep8_20260425T084442.json
T5,batched,main_a,8,3.0,False,1,15.17,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:45:03.418635+00:00,runs/main_a/T5_batched_rep8_20260425T084503.json
T5,batched,main_a,9,3.0,False,1,15.33,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:45:18.594134+00:00,runs/main_a/T5_batched_rep9_20260425T084518.json
T5,per_dim,main_a,9,3.0,False,6,21.77,0.1.2,dashscope-qwen-plus,2026-04-25T08:45:33.929755+00:00,runs/main_a/T5_per_dim_rep9_20260425T084533.json
T1,per_dim,main_a,0,6.0,False,7,29.4,0.1.2,dashscope-qwen-plus,2026-04-25T08:45:55.697656+00:00,runs/main_a/T1_per_dim_rep0_20260425T084555.json
T1,batched,main_a,0,6.2,False,1,17.21,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:46:25.096518+00:00,runs/main_a/T1_batched_rep0_20260425T084625.json
T1,batched,main_a,1,6.4,False,1,19.46,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:46:42.305960+00:00,runs/main_a/T1_batched_rep1_20260425T084642.json
T1,per_dim,main_a,1,6.0,False,7,28.91,0.1.2,dashscope-qwen-plus,2026-04-25T08:47:01.762577+00:00,runs/main_a/T1_per_dim_rep1_20260425T084701.json
T1,per_dim,main_a,2,6.0,False,7,28.98,0.1.2,dashscope-qwen-plus,2026-04-25T08:47:30.677345+00:00,runs/main_a/T1_per_dim_rep2_20260425T084730.json
T1,batched,main_a,2,6.5,False,1,18.85,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:47:59.661118+00:00,runs/main_a/T1_batched_rep2_20260425T084759.json
T1,batched,main_a,3,6.5,False,1,19.52,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:48:18.513496+00:00,runs/main_a/T1_batched_rep3_20260425T084818.json
T1,per_dim,main_a,3,6.0,False,7,30.0,0.1.2,dashscope-qwen-plus,2026-04-25T08:48:38.035749+00:00,runs/main_a/T1_per_dim_rep3_20260425T084838.json
T1,per_dim,main_a,4,6.0,False,7,29.5,0.1.2,dashscope-qwen-plus,2026-04-25T08:49:08.041748+00:00,runs/main_a/T1_per_dim_rep4_20260425T084908.json
T1,batched,main_a,4,6.6,False,1,19.73,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:49:37.547627+00:00,runs/main_a/T1_batched_rep4_20260425T084937.json
T1,batched,main_a,5,6.2,False,1,19.71,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:49:57.279672+00:00,runs/main_a/T1_batched_rep5_20260425T084957.json
T1,per_dim,main_a,5,6.0,False,7,28.63,0.1.2,dashscope-qwen-plus,2026-04-25T08:50:16.992109+00:00,runs/main_a/T1_per_dim_rep5_20260425T085016.json
T1,per_dim,main_a,6,6.0,False,7,29.22,0.1.2,dashscope-qwen-plus,2026-04-25T08:50:45.623894+00:00,runs/main_a/T1_per_dim_rep6_20260425T085045.json
T1,batched,main_a,6,6.5,False,1,18.05,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:51:14.849763+00:00,runs/main_a/T1_batched_rep6_20260425T085114.json
T1,batched,main_a,7,6.6,False,1,18.3,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:51:32.903301+00:00,runs/main_a/T1_batched_rep7_20260425T085132.json
T1,per_dim,main_a,7,6.0,False,7,29.59,0.1.2,dashscope-qwen-plus,2026-04-25T08:51:51.202171+00:00,runs/main_a/T1_per_dim_rep7_20260425T085151.json
T1,per_dim,main_a,8,6.0,False,7,28.6,0.1.2,dashscope-qwen-plus,2026-04-25T08:52:20.797898+00:00,runs/main_a/T1_per_dim_rep8_20260425T085220.json
T1,batched,main_a,8,6.5,False,1,19.04,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:52:49.396748+00:00,runs/main_a/T1_batched_rep8_20260425T085249.json
T1,batched,main_a,9,6.5,False,1,18.92,0.1.2,dashscope-qwen-plus+batch,2026-04-25T08:53:08.440328+00:00,runs/main_a/T1_batched_rep9_20260425T085308.json
T1,per_dim,main_a,9,6.0,False,7,28.91,0.1.2,dashscope-qwen-plus,2026-04-25T08:53:27.356877+00:00,runs/main_a/T1_per_dim_rep9_20260425T085327.json
T4,per_dim,main_b,0,3.0,False,12,46.54,0.1.2,dashscope-qwen-plus,2026-04-25T09:02:48.160592+00:00,runs/main_b/T4_per_dim_rep0_20260425T090248.json
T4,batched,main_b,0,3.8,False,2,31.76,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:03:34.703520+00:00,runs/main_b/T4_batched_rep0_20260425T090334.json
T4,batched,main_b,1,3.5,False,2,38.07,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:04:06.468573+00:00,runs/main_b/T4_batched_rep1_20260425T090406.json
T4,per_dim,main_b,1,3.0,False,12,48.11,0.1.2,dashscope-qwen-plus,2026-04-25T09:04:44.541457+00:00,runs/main_b/T4_per_dim_rep1_20260425T090444.json
T4,per_dim,main_b,2,3.0,False,12,50.67,0.1.2,dashscope-qwen-plus,2026-04-25T09:05:32.656232+00:00,runs/main_b/T4_per_dim_rep2_20260425T090532.json
T4,batched,main_b,2,3.8,False,2,38.86,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:06:23.324298+00:00,runs/main_b/T4_batched_rep2_20260425T090623.json
T2,per_dim,main_b,0,3.0,False,12,39.62,0.1.2,dashscope-qwen-plus,2026-04-25T09:07:02.185301+00:00,runs/main_b/T2_per_dim_rep0_20260425T090702.json
T2,batched,main_b,0,3.0,False,2,29.22,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:07:41.804376+00:00,runs/main_b/T2_batched_rep0_20260425T090741.json
T2,batched,main_b,1,3.0,False,2,27.39,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:08:11.023417+00:00,runs/main_b/T2_batched_rep1_20260425T090811.json
T2,per_dim,main_b,1,3.0,False,12,38.23,0.1.2,dashscope-qwen-plus,2026-04-25T09:08:38.414210+00:00,runs/main_b/T2_per_dim_rep1_20260425T090838.json
T2,per_dim,main_b,2,3.0,False,12,38.16,0.1.2,dashscope-qwen-plus,2026-04-25T09:09:16.647684+00:00,runs/main_b/T2_per_dim_rep2_20260425T090916.json
T2,batched,main_b,2,3.0,False,2,29.19,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:09:54.812814+00:00,runs/main_b/T2_batched_rep2_20260425T090954.json
T3,per_dim,main_b,0,3.2,False,12,36.15,0.1.2,dashscope-qwen-plus,2026-04-25T09:10:24.005592+00:00,runs/main_b/T3_per_dim_rep0_20260425T091024.json
T3,batched,main_b,0,3.2,False,2,23.57,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:11:00.152008+00:00,runs/main_b/T3_batched_rep0_20260425T091100.json
T3,batched,main_b,1,3.2,False,2,26.95,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:11:23.724483+00:00,runs/main_b/T3_batched_rep1_20260425T091123.json
T3,per_dim,main_b,1,3.2,False,12,37.0,0.1.2,dashscope-qwen-plus,2026-04-25T09:11:50.678898+00:00,runs/main_b/T3_per_dim_rep1_20260425T091150.json
T3,per_dim,main_b,2,3.2,False,12,38.07,0.1.2,dashscope-qwen-plus,2026-04-25T09:12:27.682327+00:00,runs/main_b/T3_per_dim_rep2_20260425T091227.json
T3,batched,main_b,2,3.2,False,2,25.07,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:13:05.748190+00:00,runs/main_b/T3_batched_rep2_20260425T091305.json
T5,per_dim,main_b,0,3.0,False,12,35.32,0.1.2,dashscope-qwen-plus,2026-04-25T09:13:30.815307+00:00,runs/main_b/T5_per_dim_rep0_20260425T091330.json
T5,batched,main_b,0,3.0,False,2,24.85,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:14:06.139896+00:00,runs/main_b/T5_batched_rep0_20260425T091406.json
T5,batched,main_b,1,3.0,False,2,23.09,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:14:30.989357+00:00,runs/main_b/T5_batched_rep1_20260425T091430.json
T5,per_dim,main_b,1,3.0,False,12,35.44,0.1.2,dashscope-qwen-plus,2026-04-25T09:14:54.076947+00:00,runs/main_b/T5_per_dim_rep1_20260425T091454.json
T5,per_dim,main_b,2,3.0,False,12,34.98,0.1.2,dashscope-qwen-plus,2026-04-25T09:15:29.520744+00:00,runs/main_b/T5_per_dim_rep2_20260425T091529.json
T5,batched,main_b,2,3.0,False,2,24.27,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:16:04.504383+00:00,runs/main_b/T5_batched_rep2_20260425T091604.json
T1,per_dim,main_b,0,6.6,False,14,68.1,0.1.2,dashscope-qwen-plus,2026-04-25T09:16:28.771536+00:00,runs/main_b/T1_per_dim_rep0_20260425T091628.json
T1,batched,main_b,0,6.2,False,2,41.84,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:17:36.875494+00:00,runs/main_b/T1_batched_rep0_20260425T091736.json
T1,batched,main_b,1,6.2,False,2,44.5,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:18:18.721802+00:00,runs/main_b/T1_batched_rep1_20260425T091818.json
T1,per_dim,main_b,1,6.4,False,14,69.28,0.1.2,dashscope-qwen-plus,2026-04-25T09:19:03.224246+00:00,runs/main_b/T1_per_dim_rep1_20260425T091903.json
T1,per_dim,main_b,2,6.6,False,14,68.79,0.1.2,dashscope-qwen-plus,2026-04-25T09:20:12.508282+00:00,runs/main_b/T1_per_dim_rep2_20260425T092012.json
T1,batched,main_b,2,6.2,False,2,46.14,0.1.2,dashscope-qwen-plus+batch,2026-04-25T09:21:21.307674+00:00,runs/main_b/T1_batched_rep2_20260425T092121.json
